name,platform,price,discount,normal,rating,total
"NBA 2K19 20th Anniversary Edition",PS4,$49.99,50,$99.99,4.44,2860
"NBA 2K19",PS4,$29.99,50,$59.99,4.12,2978
"DRAGON QUEST® XI - Digital Edition of Light",PS4,$35.99,40,$59.99,4.91,367
"Call of Duty®: Black Ops 4",PS4,$38.99,35,$59.99,4.39,7991
"Call of Duty®: Black Ops 4 - Digital Deluxe",PS4,$84.99,15,$99.99,4.71,1780
"Red Dead Redemption 2:  Ultimate Edition",PS4,$89.99,10,$99.99,4.88,2739
"Shadow of the Tomb Raider - Croft Edition",PS4,$44.99,50,$89.99,4.74,214
"Call of Duty®: Black Ops 4 - Digital Deluxe Enhanced",PS4,$109.19,16,$129.99,4.84,459
"Red Dead Redemption 2:  Special Edition",PS4,$69.59,13,$79.99,4.94,1435
"FAR CRY 5",PS4,$23.99,60,$59.99,4.3,2191
"Shadow of the Tomb Raider - Digital Deluxe Edition",PS4,$34.99,50,$69.99,4.68,60
"For Honor",PS4,$9.99,75,$39.99,4.09,9904
"Tom Clancy’s Ghost Recon® Wildlands Standard Edition",PS4,$14.99,70,$49.99,4.48,14256
"Valkyria Chronicles 4",PS4,$29.99,50,$59.99,4.78,144
"FAR CRY 5 GOLD EDITION",PS4,$44.99,50,$89.99,4.85,641
Boundless,PS4,$31.99,20,$39.99,3.95,55
"Creed: Rise to Glory™",PS4,$14.99,50,$29.99,4.58,120
"FAR CRY 5 DELUXE EDITION",PS4,$27.99,60,$69.99,5,23
"Just Cause 4 - Digital Deluxe Edition",PS4,$52.49,25,$69.99,4.22,23
"Just Cause 4 - Standard Edition",PS4,$47.99,20,$59.99,3.58,107
Transference,PS4,$14.99,40,$24.99,4.56,16
"Yakuza 6: The Song of Life",PS4,$29.99,50,$59.99,4.79,275
"Call of Duty®: Black Ops 4 + Destiny 2: Forsaken + Overwatch®",PS4,$79.99,50,$159.99,,
"Dakar 18",PS4,$41.99,30,$59.99,5,1
"Dream Daddy: A Dad Dating Simulator",PS4,$10.49,30,$14.99,4.68,25
"For Honor Marching Fire Edition",PS4,$29.99,50,$59.99,4.29,7
GRIP,PS4,$31.99,20,$39.99,4.5,6
"GRIP Digital Deluxe",PS4,$34.99,30,$49.99,,
"Hollow Knight Voidheart Edition",PS4,$10.49,30,$14.99,4.83,521
"Just Cause 4 - Gold Edition",PS4,$67.49,25,$89.99,4.83,65
"Just Dance 2019",PS4,$23.99,40,$39.99,4.69,13
"Life is Strange 2 - Episode 1",PS4,$3.99,50,$7.99,4.68,204
"Mark of the Ninja: Remastered",PS4,$14.99,25,$19.99,4.09,33
"Omen of Sorrow",PS4,$34.99,30,$49.99,4.88,17
"Road Redemption",PS4,$13.99,30,$19.99,4.34,32
"Shadow of the Tomb Raider",PS4,$29.99,50,$59.99,4.47,263
"Shadow of the Tomb Raider - Season Pass",PS4,$20.09,33,$29.99,4.48,369
"SINNER: Sacrifice for Redemption",PS4,$13.29,30,$18.99,4.07,14
"Starlink: Battle For Atlas Deluxe Edition",PS4,$53.59,33,$79.99,5,3
"Starlink: Battle For Atlas Digital Edition",PS4,$40.19,33,$59.99,4.6,20
"Super Street: The Game",PS4,$19.99,50,$39.99,2.71,38
"THE FOREST",PS4,$16.99,15,$19.99,4.64,574
"The Jackbox Party Pack 5",PS4,$20.99,30,$29.99,4.33,6
Timespinner,PS4,$16.99,15,$19.99,4.73,73
"Tom Clancy’s Ghost Recon Wildlands Ultimate Edition",PS4,$59.99,50,$119.99,,
"Tom Clancy’s Ghost Recon Wildlands Year 2 Gold Edition",PS4,$39.99,50,$79.99,4.83,6
