name,platform,price,discount,normal,rating,total
"Marvel's Spider-Man",PS4,$40.19,33,$59.99,4.83,10035
"Destiny 2: Forsaken",PS4,$29.99,25,$39.99,4.54,2163
"Marvel's Spider-Man Digital Deluxe Edition",PS4,$49.59,38,$79.99,4.86,4001
"NBA 2K19 20th Anniversary Edition",PS4,$49.99,50,$99.99,4.44,2860
"NBA 2K19",PS4,$29.99,50,$59.99,4.11,3084
"Destiny 2: Forsaken - Digital Deluxe Edition",PS4,$67.99,15,$79.99,4.79,1055
"Destiny 2: Forsaken - Legendary Collection",PS4,$35.99,40,$59.99,3.94,2860
"Battlefield™ V",PS4,$29.99,50,$59.99,4.09,1066
"Madden NFL 19",PS4,$23.99,60,$59.99,3.25,655
"Grand Theft Auto V",PS4,$14.99,50,$29.99,4.69,159369
Thief,PS4,$2.99,85,$19.99,4.05,6957
"Fortnite - Standard Founder’s Pack",PS4,$19.99,50,$39.99,,
"EA SPORTS™ UFC® 3",PS4,$17.99,70,$59.99,3.35,837
"Prey: Digital Deluxe Edition",PS4,$19.99,50,$39.99,5,12
"Call of Duty®: Black Ops 4",PS4,$38.99,35,$59.99,4.38,8165
"Grim Fandango Remastered",PS4,$3.74,75,$14.99,4.4,12828
"Destiny 2: Forsaken + Annual Pass",PS4,$59.49,15,$69.99,4.57,349
"Assassin’s Creed® Origins",PS4,$23.99,60,$59.99,4.68,3972
"MURDERED: SOUL SUSPECT™ '",PS4,$1.99,90,$19.99,4.12,2707
"Call of Duty®: Black Ops 4 - Digital Deluxe",PS4,$84.99,15,$99.99,4.71,1782
"Human: Fall Flat - Total Bob Bundle",PS4,$5.99,60,$14.99,4.45,47
"Lords of the Fallen Complete Edition",PS4,$4.49,85,$29.99,4.48,166
"Assassin’s Creed® IV Black Flag™",PS4,$20.09,33,$29.99,4.67,18377
"Horizon Zero Dawn: Complete Edition",PS4,$13.39,33,$19.99,4.85,2860
"Assassin’s Creed® Origins Gold Edition",PS4,$49.99,50,$99.99,4.93,100
"DRAGON BALL FIGHTERZ",PS4,$29.99,50,$59.99,4.73,4303
"Beholder Complete Edition",PS4,$2.99,80,$14.99,4.54,13
"Assassin’s Creed® Origins Deluxe Edition",PS4,$27.99,60,$69.99,4.84,25
"GTA Online: Criminal Enterprise Starter Pack",PS4,$19.49,35,$29.99,,
"God of War® Collection",PS3,$2.24,85,$14.99,4.84,790
"AER - Memories of Old",PS4,$5.99,60,$14.99,4.18,40
"Rocket League®",PS4,$9.99,50,$19.99,4.7,133532
"Blood Bowl® 2: Legendary Edition",PS4,$11.24,75,$44.99,4,19
"FINAL FANTASY XV ROYAL EDITION",PS4,$24.99,50,$49.99,4.56,552
"The Last Of Us™",PS3,$3.99,60,$9.99,4.88,16774
"ARCADE GAME SERIES 3-in-1 Pack",PS4,$2.79,65,$7.99,4.56,343
"TALES OF BERSERIA",PS4,$14.99,75,$59.99,4.83,989
"Full Throttle Remastered",PS4,$8.24,45,$14.99,4.76,627
"DRAGON BALL XENOVERSE 2 - Super Pass",PS4,$9.89,67,$29.99,4.5,4267
"Destiny 2: Forsaken - Complete Collection",PS4,$69.99,30,$99.99,4.85,53
"God of War: Ascension™",PS3,$1.49,85,$9.99,4.48,5295
"L.A. Noire",PS4,$19.99,50,$39.99,4.79,911
"Tokyo Xanadu eX+",PS4,$23.99,60,$59.99,4.76,71
"Digimon World: Next Order",PS4,$14.99,75,$59.99,4.44,586
"Trials Fusion: Awesome MAX Edition",PS4,$11.99,70,$39.99,4.59,203
"Real Farm",PS4,$7.99,80,$39.99,2.27,22
"Catlateral Damage",PS4,$2.99,70,$9.99,3.99,797
"Human: Fall Flat",PS4,$5.99,60,$14.99,4.23,2986
"Caladrius Blaze",PS4,$4.49,85,$29.99,4.69,222
"DISGAEA 5: ALLIANCE OF VENGEANCE",PS4,$20.99,30,$29.99,4.86,1987
"FIFA 19",PS4,$23.99,60,$59.99,4.16,1498
