name,platform,price,discount,normal,rating,total
"100ft Robot Golf",PS4,$1.99,80,$9.99,3.4,40
"18 Floors",PS4,$8.99,40,$14.99,2.56,9
"2MD: VR Football™ Head 2 Head Edition",PS4,$12.99,0,,4.3,27
"Ace Banana",PS4,$14.99,0,,2.8,64
"AFFECTED: The Manor",PS4,$7.99,0,,3.57,14
"Air Force Special Ops: Nightfall",PS4,Free,0,,3.6,2727
Allumette,PS4,Free,0,,4.35,1482
"Along Together",PS4,$7.49,50,$14.99,4.36,14
"Ancient Amuletor",PS4,$19.99,0,,4.77,111
"Ancient Amuletor Demo",PS4,Free,0,,4.32,317
"Animal Force",PS4,$15.99,0,,,
anywhereVR,PS4,Free,0,,3.97,478
"Apex Construct",PS4,$14.99,50,$29.99,3.72,32
"Apex Construct Demo",PS4,Free,0,,4.38,122
"Apocalypse Rider",PS4,$4.99,0,,2.6,5
"Apollo 11 VR",PS4,$11.99,0,,4.24,123
"Arca's Path VR",PS4,$19.99,0,,4,1
Archangel™,PS4,$14.99,50,$29.99,4.27,232
"Arizona Sunshine",PS4,$11.99,70,$39.99,3.99,655
"ARK Park",PS4,$49.99,0,,2.85,60
"ASTRO BOT Rescue Mission",PS4,$39.99,0,,4.91,288
"ATV Drift & Tricks Definitive Edition",PS4,$9.99,60,$24.99,1.5,18
"Audio Beats",PS4,$4.99,50,$9.99,3.08,13
"Bandit Six: Combined Arms",PS4,$12.99,0,,3.86,14
"Batman™: Arkham VR",PS4,$11.99,40,$19.99,4.19,918
"Battlezone Gold Edition",PS4,$10.49,70,$34.99,4.43,248
"Beat Saber",PS4,$29.99,0,,4.91,632
"Beats Fever",PS4,$19.99,0,,,
"Black Hat Cooperative",PS4,$9.99,0,,4,2
"Blasters of the Universe",PS4,$7.49,50,$14.99,4.61,56
Blind,PS4,$24.99,0,,3.6,5
"Bloody Zombies",PS4,$14.99,0,,4.04,77
"Borderlands 2 VR",PS4,$49.99,0,,4.65,68
Bound,PS4,$19.99,0,,4.07,2645
"Bound Demo",PS4,Free,0,,4.09,363
"Bow to Blood",PS4,$29.99,0,,4.31,13
"Boxing Apocalypse",PS4,$19.99,0,,1,1
"Bravo Team",PS4,$23.99,40,$39.99,3.15,202
BugsBoxVR,PS4,$16.99,0,,3,1
"Call Of Duty®: Infinite Warfare Jackal Assault VR Experience",PS4,Free,0,,3.82,6606
